,ID,Type,Language_1,Lexeme_1,Meaning_1,Direction,Language_2,Lexeme_2,Meaning_2
4920,shift0249, Polysemy,Tibetan,yal-ba,"to be reduced, to diminish, to decrease",—,Tibetan,yal-ba,to be tasteless
4922,shift0250, Polysemy,Tibetan,yid,"mind, sense, intellect",—,Tibetan,yid,"heart, soul (the seat of emotions, feelings, moods)"
4924,shift0251, Polysemy,Swahili,tanabahi,to understand,—,Swahili,tanabahi,to recall
4926,shift0253, Polysemy,Tibetan,gyas-ma,the one on the right side,—,Tibetan,gyas-ma,thief
4928,shift0254, Polysemy,English,bright ,bright,→,English,bright ,intelligent
4929,shift0254, Polysemy,German,hell,"light, bright, clear",→,German,"helle (dialectal, Berlin)",clever
4930,shift0254, Polysemy,Tibetan,dkar-po,"white, bright",NA,Tibetan,dkar-po,"wise, talented"
4931,shift0254, Polysemy,Tibetan,gyeng-po,clear,NA,Tibetan,gyeng-po,"knowledgeable, intelligent, wise"
4932,shift0254, Polysemy,Turkish,aydın,"light, clear",—,Turkish,aydın,"knowledgeable, intelligent"
4938,shift0255, Polysemy,Tibetan,gyor-mo,wave,—,Tibetan,gyor-mo,sail
4940,shift0256, Polysemy,Classical Arabic,sawạ̄ʔ-,even,—,Classical Arabic,sawạ̄ʔ-,"equal, equable, uniform"
4941,shift0256, Polysemy,Croatian,ravan,flat (adj),—,Croatian,ravan,equal
4942,shift0256, Polysemy,English,even,flat (adj),—,English,even,"equal, identical"
4944,shift0256, Polysemy,Geez,ʕaraya,"'to be even, be leveled off, be level'",—,Geez,ʕaraya,"'to be the same, be equal'"
4945,shift0256, Polysemy,Latin,aequalis,flat (adj),—,Latin,aequalis,equal
4946,shift0256, Polysemy,Mongolian (Khalkha),tegš,"even, smooth, straight",—,Mongolian (Khalkha),tegš,equal
4947,shift0256, Internal cognates,Russian,ровный (rovnyj),even,—,Russian,равный (ravnyj),equal
4948,shift0256, Polysemy,Sanskrit,samá,"even, smooth (surface)",—,Sanskrit,samá,"same , equal , similar , like , equivalent "
4949,shift0256, Polysemy,Serbian,раван (ravan),flat (adj),—,Serbian,раван (ravan),equal
4950,shift0256, Polysemy,Somali,siman,flat,—,Somali,siman,equal
4951,shift0256, Polysemy,Tibetan,phyag-le-ba,"flat, even",—,Tibetan,phyag-le-ba,"equal, same"
4952,shift0256, Polysemy,Tibetan,mnyam-pa,even,—,Tibetan,mnyam-pa,"equal, same"
4966,shift0257, Polysemy,Mongolian (Khalkha),sav,vessel,→,Mongolian (Khalkha),sav,womb
4967,shift0257, Polysemy,Tibetan,phru,"pottery, earthenware",→,Tibetan,phru,womb
4970,shift0258, Polysemy,Tibetan,aphen-pa,"to throw, to cast, to launch",—,Tibetan,aphen-pa,"to think over, to reflect"
4972,shift0259, Derivation,Abkhaz,aħʷazara,to crawl,→,Abkhaz,aħʷaza,snake
4973,shift0259, Derivation,Chechen,teqar,to crawl,→,Chechen,teqarg,snake
4974,shift0259, Semantic evolution,Latin,serpens,crawling,→,French,serpent,snake
4975,shift0259, Cognates,Old High German,slingan,"to turn, to coil",→,Old High German,slango,snake
4976,shift0259, Cognates,Old High German,snahan,to crawl,→,Old Norse,snākr,snake
4977,shift0259, Derivation,Osetin,xīlyn,to crawl,→,Osetin,xīlag,snake
4978,shift0259, Derivation,Russian,polzat',"to creep, to crawl",→,Russian,polzun,snake
4979,shift0259, Derivation,Sanskrit,sṛp-,"to creep , crawl , glide , slink , move gently or cautiouslyto creep , crawl , glide , slink , move gently or cautiously",→,Sanskrit,sarpá,"snake , serpent , serpent-demon"
4980,shift0259, Polysemy,Tibetan,aphye-ba,to crawl,→,Tibetan,aphye-ba,snake
4990,shift0260, Polysemy,Italian,galleggiare,"to float, keep, or have the ability to keep, on the surface of a liquid, a mass of water",→,Italian,galleggiare,"referring to an aerostat, stay suspended in the air without going up or down"
4991,shift0260, Polysemy,Japanese,tadayou (漂う),to float,—,Japanese,tadayou (漂う),to float (in the air)
4992,shift0260, Polysemy,Japanese,ukabu,to float,—,Japanese,ukabu,to float (in the air)
4993,shift0260, Polysemy,Khmer,sat,to float,—,Khmer,sat,to float (in air)
4994,shift0260, Polysemy,Khmer,ɒndaet,"to surface, to float (on the surface or with the current)",—,Khmer,ɒndaet,to float (in air)
4995,shift0260, Polysemy,Khmer,rɔsat,to float,—,Khmer,rɔsat,"to drift, to float"
4996,shift0260, Polysemy,Komi,гӧвкъявны,to float,—,Komi,гӧвкъявны,to drift in the air
4997,shift0260, Polysemy,Komi,кӧвкъявны,"to float on the surface of any liquid (about oil, fats)",—,Komi,кӧвкъявны,(dialect) to drift in the air
4998,shift0260, Polysemy,Mandarin Chinese,yóu (游),"to swim, to float",→,Mandarin Chinese,yóu (游),"to soar, to hover, to drift in the air, to fly"
4999,shift0260, Polysemy,Portuguese,volante,floating,—,Portuguese,volante,flying
5000,shift0260, Polysemy,Tibetan,aphyo-ba,"float freely, to toss (on water)",—,Tibetan,aphyo-ba,to float (in air)
5012,shift0261, Semantic evolution,Old Irish,taide,thief,—,Old Irish,taide,adulterer
5014,shift0262, Polysemy,Tibetan,blo-blong-ba,"to be unhappy, upset",—,Tibetan,blo-blong-ba,to be ignorant
5016,shift0263, Polysemy,Farsi,il (ایل),"people, tribe",—,Farsi,il (ایل),subjects
5017,shift0263, Polysemy,Tibetan,abangs,people,—,Tibetan,abangs,"subject, servant"
5020,shift0264, Polysemy,Romanian,căuta,"to try, to attempt",—,Romanian,căuta,"to care for, look after"
5021,shift0264, Polysemy,Tibetan,abad-pa,"to attempt, to try, to strive",—,Tibetan,abad-pa,"to care, to bring up"
5024,shift0265, Polysemy,Classical Arabic,وَقَعَ waqaˁ,to fall  ,→,Classical Arabic,وَقَعَ waqaˁ,"to take place, to happen"
5025,shift0265, Polysemy,Croatian,pasti,to fall down,→,Croatian,pasti,to happen
5026,shift0265, Polysemy,English,to fall,to fall down,→,English,to fall,"to happen, occur"
5027,shift0265, Polysemy,Latin,"accido, -ere",to go down,—,Latin,"accido, -ere","to happen, occur"
5028,shift0265, Polysemy,Serbian,пасти (pasti),to fall down,→,Serbian,пасти (pasti),to happen
5029,shift0265, Polysemy,Tibetan,abab-pa,"to go down, to descend",NA,Tibetan,abab-pa,"to come (date, term, time)"
5030,shift0265, Polysemy,Tigrinya,wärädä,"to descend, come down, go down",—,Tigrinya,wärädä,"to happen to, befall s.o."
5031,shift0265, Polysemy,Turkish,çök-,"to settle, to sediment, to subside",→,Turkish,çök-,"to come (night, silence)"
5040,shift0266, Polysemy,Tibetan,abebs-pa,"to lower, to go down",NA,Tibetan,abebs-pa,"to appoint, to designate"
5042,shift0267, Polysemy,Tibetan,abel-po,"numerous, abundant",—,Tibetan,abel-po,cheap
5044,shift0268, Polysemy,Japanese,shizumu (沈む),to sink,→,Japanese,shizumu (沈む),to get depressed
5045,shift0268, Polysemy,Japanese,ochikomu,"to sink, to fall in",→,Japanese,ochikomu,gloomy
5046,shift0268, Polysemy,Tibetan,abying-ba,"to plunge, to sink; to subside, to fall through",—,Tibetan,abying-ba,"to weaken, to slacken, to lose courage"
5050,shift0269, Polysemy,Classical Arabic,nabat̲a,"'to dig with the hand, to dig out'",—,Classical Arabic,nabat̲a,"'to investigate, scrutinize, examine'"
5051,shift0269, Polysemy,Croatian,kopati,to dig,—,Croatian,kopati,to investigate
5052,shift0269, Polysemy,Danish,grave,to dig,—,Danish,grave,to investigate
5053,shift0269, Polysemy,French,fouiller,to unearth,—,French,fouiller,to investigate
5054,shift0269, Polysemy,Norwegian,grave,to dig,—,Norwegian,grave,to investigate
5055,shift0269, Polysemy,Russian,копать (kopat'),to dig,→,Russian,докопаться (dokopat'sja),"to (try to) find out, to discover, to hunt out, to get to the bottom (of)"
5056,shift0269, Polysemy,Serbian,копати (kopati),to dig,—,Serbian,копати (kopati),to investigate
5057,shift0269, Polysemy,Serbian,чепркати (čeprkati),to dig,—,Serbian,чепркати (čeprkati),to investigate
5058,shift0269, Polysemy,Serbian,čeprkati ,to dig,—,Serbian,čeprkati ,to investigate
5059,shift0269, Polysemy,Spanish,cavar,to dig (a hole); to trench,→,Spanish,cavar,to ponder
5060,shift0269, Polysemy,Swedish,gräva,to dig,—,Swedish,gräva,to investigate
5061,shift0269, Polysemy,Tibetan,abru-ba,to dig,—,Tibetan,abru-ba,"to study, to research"
5062,shift0269, Polysemy,Turkish,eşele-,"to dig, grub, scratch",—,Turkish,eşele-,to investigate
5076,shift0270, Polysemy,Tibetan,abru-ba,to dig,—,Tibetan,abru-ba,"to annoy, to irritate"
5078,shift0271, Polysemy,Tibetan,sbugs-srub-dog-po,"narrow, tight",—,Tibetan,sbugs-srub-dog-po,boring
5080,shift0272, Semantic evolution,Acehnese,ulon,slave,→,Acehnese,ulon,"I, me"
5081,shift0272, Polysemy,Burmese,чундо,royal slave,→,Burmese,чундо,"I, me (male)"
5082,shift0272, Polysemy,Burmese,taymaq,female slave,→,Burmese,taymaq,"I, me"
5083,shift0272, Polysemy,Burmese,dabeqdov,royal obedient,→,Burmese,dabeqdov,"I, me"
5084,shift0272, Polysemy,Farsi,بنده bande,slave,→,Farsi,بنده bande,"I, me (epistolary)"
5085,shift0272, Semantic evolution,Indonesian,sahaya,servant,→,Indonesian,saya,"I, me"
5086,shift0272, Polysemy,Khmer,khŋum,slave,→,Khmer,khŋum,"I, me"
5087,shift0272, Polysemy,Mandarin Chinese,xiăo-guān,"inferior officer, junior servant",→,Mandarin Chinese,xiăo-guān,"I, me (clerk, officer)"
5088,shift0272, Semantic evolution,Old Japanese,boku,"servant, slave",→,Japanese,boku,"I, me (male)"
5089,shift0272, Polysemy,Thai,kà-yǒm (ขยม),"(archaic) servant, slave",→,Thai,kà-yǒm (ขยม),"(archaic) I, me"
5090,shift0272, Semantic evolution,Vietnamese,"tŏi, tố",servant,NA,Vietnamese,"tŏi, tố","I, me"
5102,shift0273, Semantic evolution,Burmese,minx,king,→,Burmese,minx,you
5103,shift0273, Semantic evolution,Burmese,hyinv,"lord, master",→,Burmese,hyinv,you
5104,shift0273, Semantic evolution,Japanese,kimi,"lord, emperor",→,Japanese,kimi,you
5105,shift0273, Semantic evolution,Thai,câw,"prince, lord",→,Thai,câw,you
5106,shift0273, Semantic evolution,Thai,naaj,"master, owner",→,Thai,naaj,you
5112,shift0274, Polysemy,Farsi,тäлхäк,bitterish,—,Farsi,тäлхäк,"nice, pretty"
5113,shift0274, Polysemy,Slovenian,bridek,bitter,NA,Slovenian,bridek,"beautiful, sumptuous"
5116,shift0275, Polysemy,Bashkir,ағыулы,poisonous,→,Bashkir,ағыулы,sarcastic
5117,shift0275, Polysemy,Croatian,otrovan,poisonous,→,Croatian,otrovan,sarcastic
5118,shift0275, Polysemy,English,venomous,poisonous,→,English,venomous,full of malice or spite
5119,shift0275, Polysemy,Komi,ядӧвитӧй,poisonous,→,Komi,ядӧвитӧй,sarcastic
5120,shift0275, Polysemy,Russian,jadovityj,poisonous,→,Russian,jadovityj,"pungent, incisive"
5121,shift0275, Polysemy,Serbian,отрован (otrovan),poisonous,→,Serbian,отрован (otrovan),sarcastic
5122,shift0275, Polysemy,Spanish,venenoso,poisonous,→,Spanish,venenoso,sarcastic
5123,shift0275, Polysemy,Turkish,zehirli,poisonous,→,Turkish,zehirli,"sarcastic, caustic, malicious"
5124,shift0275, Polysemy,Yakut,сүлүhүннээх,poisonous,→,Yakut,сүлүhүннээх,"spiteful, malicious"
5134,shift0276, Polysemy,French,précieux,expensive,→,French,précieux,important
5135,shift0276, Polysemy,Hungarian,értékes,expensive,→,Hungarian,értékes,"valuable, important"
